112-3818736-4535453	 : 60091
114-4641285-3416268	 : 60091-2253
114-8822806-8780208	 : 48320-1126
113-8541557-9049007	 : 13365-3907
113-4051021-0450652	 : 13365-3907
111-5457261-2478663	 : 95340
111-2265624-6195452	 : 95340
114-6614297-5614614	 : 02896-7755
111-6726542-8709066	 : 17702
113-9747242-4443457	 : 46304-1547
113-5054957-7874669	 : 53546
113-0243653-3169876	 : 75040
111-1015908-8198607	 : 12010-2524
114-3076073-0942657	 : 62450-3321
112-1958790-4428236	 : 30701-3669
112-2400516-6489014	 : 27612-5217
111-8538131-7661041	 : 87112-1702
111-6315614-9095444	 : 76705-3313
112-3356838-2539449	 : 98402
113-2519187-5242636	 : 30269-6847
112-6427455-0749829	 : 29681-6816
112-8324726-3136266	 : 29681-6816
111-3533562-1836237	 : 08701
111-1983384-8710608	 : 87112-1702
112-4643008-8567433	 : 54742-9507
111-2077802-2458622	 : 37043-5862
112-5945350-3460260	 : 43081
114-2230054-8080239	 : 11369-1811
112-1634778-9591409	 : 24083-3722
111-9848427-0553053	 : 62896
114-3036991-3198602	 : 33064-6089
113-5240970-4384239	 : 32937-2522
113-5144402-7201015	 : 46202-5224
112-0082378-9582613	 : 46202-5193
111-5058347-7087452	 : 35005-1622
111-2367398-7618606	 : 60606-2600
111-6074632-4741834	 : 60661-4546
113-6709451-7277848	 : 91307-1104
112-6086004-5645802	 : 38751-2032
113-0707744-6443444	 : 91406-2916
112-5267698-7913053	 : 33462-5190
114-1882712-6941059	 : 12522-6023
113-4472992-2874637	 : 94558-2629
113-7582947-5879434	 : 03817-4674
111-2839635-2493068	 : 78015
113-3029159-9246634	 : 53158-2224
114-7157932-4320227	 : 45238-5901
114-1477090-7937820	 : 11803-2400
113-4681874-7223462	 : 97488
114-0716838-6007435	 : 15668
112-8690164-5353842	 : 80902-8525
114-8702639-2185817	 : 98501-1640
111-3863636-6790612	 : 11205-2407
113-9244809-6974609	 : 08077-2333
112-9363071-3977824	 : 07306-5943
111-0164868-0257025	 : 12010-2524
111-5029630-9930633	 : 92835-3513
113-1312530-4579426	 : 19428-2830
111-0308834-0957833	 : 89503-3824
114-4495195-6589023	 : 35401-5770
113-7431378-4365806	 : 75216-1511
114-0447892-6915422	 : 11530-3939
114-7823898-1264253	 : 60443-1523
114-4394550-2648260	 : 48320-1126
113-7975188-9252206	 : 98198-2869
114-7216333-5409019	 : 48104-3172
113-4376673-7967445	 : 29483-5629
113-5130352-1794661	 : 33411
111-4534403-5237038	 : 44060-7025
113-0903121-3097028	 : 10128-1316
112-1217401-7796243	 : 94506-4653
114-3827557-5529841	 : 28144-4357
112-4023731-7340256	 : 15552
111-3712452-0729037	 : 57103-4725
113-5348906-4939419	 : 48823-5216
113-2534864-4900231	 : 46202-3544
111-9878034-6434603	 : 75207-3613
112-7502271-1790663	 : 47374-1489
114-6388206-9825036	 : 78641-3174
113-3201855-1512218	 : 85301
113-2045918-3161068	 : 09355
113-1244598-0922622	 : 73939
112-6497882-5217061	 : 48088-3945
114-2825009-8085843	 : 44004-8512
113-4395733-9684234	 : 20850-8732
114-3396706-7208252	 : 55114-1052
111-5376351-5010633	 : 63114-5721
113-0333040-6885001	 : 08837
112-6046000-9785065	 : 17857-8606
113-2685956-0677023	 : 34110-6215
111-6251642-5793833	 : 22032
111-8972728-3267406	 : 02062-3505
111-4474657-5783441	 : 59701
113-1007707-8954608	 : 78751-1001
111-9345722-9105857	 : 75087-3122
114-3767314-1094621	 : 30642-1525
113-4928094-1148226	 : 10605-3312
111-1010639-4909067	 : 94403-1223
111-3954637-8357069	 : 06511-8925
114-3817988-0424261	 : 97322
111-9262975-4453846	 : 75226
111-3959356-3083427	 : 11791-3871
114-5013558-9425026	 : 22204-1547
111-0266407-5428262	 : 43617-1850
111-1514468-3344209	 : 97007-6795
112-3277954-7517806	 : 20009
112-1224383-7904215	 : 33809-2371
112-0690673-1065044	 : 29681-5438
113-2545964-9893801	 : 55416-3008
114-3126655-0593833	 : 77373-6690
113-3426495-2157854	 : 77450-5749
114-0915287-1898627	 : 02111-1739
113-5828721-5699408	 : 84047
112-4877925-4432221	 : 85225-3931
113-8632089-1875450	 : 60605
112-9273685-4368232	 : 33607-4164
